沿線CD	駅CD	沿線名	駅名	都道府県名
4010	54440	ＪＲ函館本線	函館	北海道
4010	54420	ＪＲ函館本線	五稜郭	北海道
4010	75840	ＪＲ函館本線	桔梗	北海道
4010	54105	ＪＲ函館本線	大中山	北海道
4010	54110	ＪＲ函館本線	七飯	北海道
4010	54115	ＪＲ函館本線	新函館北斗	北海道
4010	54120	ＪＲ函館本線	仁山	北海道
4010	54125	ＪＲ函館本線	大沼	北海道
4010	54130	ＪＲ函館本線	大沼公園	北海道
4010	54135	ＪＲ函館本線	赤井川	北海道
4010	54140	ＪＲ函館本線	駒ヶ岳	北海道
4010	54155	ＪＲ函館本線	池田園	北海道
4010	54160	ＪＲ函館本線	流山温泉	北海道
4010	54165	ＪＲ函館本線	銚子口	北海道
4010	54170	ＪＲ函館本線	鹿部	北海道
4010	54175	ＪＲ函館本線	渡島沼尻	北海道
4010	54180	ＪＲ函館本線	渡島砂原	北海道
4010	54185	ＪＲ函館本線	掛澗	北海道
4010	54190	ＪＲ函館本線	尾白内	北海道
4010	54195	ＪＲ函館本線	東森	北海道
4010	54200	ＪＲ函館本線	森	北海道
4010	54210	ＪＲ函館本線	石谷	北海道
4010	54215	ＪＲ函館本線	本石倉	北海道
4010	54220	ＪＲ函館本線	石倉	北海道
4010	54225	ＪＲ函館本線	落部	北海道
4010	54230	ＪＲ函館本線	野田生	北海道
4010	54235	ＪＲ函館本線	山越	北海道
4010	54240	ＪＲ函館本線	八雲	北海道
4010	54250	ＪＲ函館本線	山崎	北海道
4010	54255	ＪＲ函館本線	黒岩	北海道
4010	54265	ＪＲ函館本線	国縫	北海道
4010	54270	ＪＲ函館本線	中ノ沢	北海道
4010	54910	ＪＲ函館本線	長万部	北海道
4010	54275	ＪＲ函館本線	二股	北海道
4010	54285	ＪＲ函館本線	黒松内	北海道
4010	54290	ＪＲ函館本線	熱郛	北海道
4010	54295	ＪＲ函館本線	目名	北海道
4010	54300	ＪＲ函館本線	蘭越	北海道
4010	54305	ＪＲ函館本線	昆布	北海道
4010	54310	ＪＲ函館本線	ニセコ	北海道
4010	54315	ＪＲ函館本線	比羅夫	北海道
4010	54320	ＪＲ函館本線	倶知安	北海道
4010	54325	ＪＲ函館本線	小沢	北海道
4010	54330	ＪＲ函館本線	銀山	北海道
4010	54335	ＪＲ函館本線	然別	北海道
