地方コード,沿線コード,駅コード,沿線,新沿線,駅名,新駅名,Temp,Temp2,沿線CD,駅CD,沿線名,駅名,都道府県名,地方名
1,11,210,北海道新幹線,北海新幹線,新青森,新青森,2,499,7675,59700,北海道新幹線,新青森,青森県,東北
1,11,260,北海道新幹線,北海新幹線,奥津軽今別,奥津軽今別,,,7675,56310,北海道新幹線,奥津軽いまべつ,青森県,東北
1,11,310,北海道新幹線,北海新幹線,木古内,木古内,1,16,7675,54540,北海道新幹線,木古内,北海道,北海道
1,11,360,北海道新幹線,北海新幹線,新函館北斗,新函館北斗,1,49,7675,54115,北海道新幹線,新函館北斗,北海道,北海道
1,51,5,函館本線,函館線,函館,函館,1,1,4010,54440,ＪＲ函館本線,函館,北海道,北海道
1,51,10,函館本線,函館線,五稜郭,五稜郭,1,2,4010,54420,ＪＲ函館本線,五稜郭,北海道,北海道
1,51,15,函館本線,函館線,桔梗,桔梗,,,4010,75840,ＪＲ函館本線,桔梗,北海道,北海道
1,51,20,函館本線,函館線,大中山,大中山,,,4010,54105,ＪＲ函館本線,大中山,北海道,北海道
1,51,25,函館本線,函館線,七飯,七飯,,,4010,54110,ＪＲ函館本線,七飯,北海道,北海道
1,51,30,函館本線,函館線,新函館北斗,新函館北斗,1,49,4010,54115,ＪＲ函館本線,新函館北斗,北海道,北海道
1,51,35,函館本線,函館線,仁山,仁山,,,4010,54120,ＪＲ函館本線,仁山,北海道,北海道
1,51,40,函館本線,函館線,大沼,大沼,,,4010,54125,ＪＲ函館本線,大沼,北海道,北海道
1,51,45,函館本線,函館線,大沼公園,大沼公園,,,4010,54130,ＪＲ函館本線,大沼公園,北海道,北海道
1,51,50,函館本線,函館線,赤井川,赤井川,,,4010,54135,ＪＲ函館本線,赤井川,北海道,北海道
1,51,55,函館本線,函館線,駒ヶ岳,駒ヶ岳,,,4010,54140,ＪＲ函館本線,駒ヶ岳,北海道,北海道
1,51,65,函館本線,函館線,池田園,池田園,,,4010,54155,ＪＲ函館本線,池田園,北海道,北海道
1,51,67,函館本線,函館線,流山温泉,流山温泉,,,4010,54160,ＪＲ函館本線,流山温泉,北海道,北海道
1,51,70,函館本線,函館線,銚子口,銚子口,,,4010,54165,ＪＲ函館本線,銚子口,北海道,北海道
1,51,75,函館本線,函館線,鹿部,鹿部,,,4010,54170,ＪＲ函館本線,鹿部,北海道,北海道
1,51,80,函館本線,函館線,渡島沼尻,渡島沼尻,,,4010,54175,ＪＲ函館本線,渡島沼尻,北海道,北海道
1,51,85,函館本線,函館線,渡島砂原,渡島砂原,,,4010,54180,ＪＲ函館本線,渡島砂原,北海道,北海道
1,51,90,函館本線,函館線,掛澗,掛澗,,,4010,54185,ＪＲ函館本線,掛澗,北海道,北海道
1,51,95,函館本線,函館線,尾白内,尾白内,,,4010,54190,ＪＲ函館本線,尾白内,北海道,北海道
1,51,100,函館本線,函館線,東森,東森,,,4010,54195,ＪＲ函館本線,東森,北海道,北海道
1,51,105,函館本線,函館線,森,森,,,4010,54200,ＪＲ函館本線,森,北海道,北海道
1,51,115,函館本線,函館線,石谷,石谷,,,4010,54210,ＪＲ函館本線,石谷,北海道,北海道
1,51,120,函館本線,函館線,本石倉,本石倉,,,4010,54215,ＪＲ函館本線,本石倉,北海道,北海道
1,51,125,函館本線,函館線,石倉,石倉,,,4010,54220,ＪＲ函館本線,石倉,北海道,北海道
1,51,130,函館本線,函館線,落部,落部,,,4010,54225,ＪＲ函館本線,落部,北海道,北海道
1,51,135,函館本線,函館線,野田生,野田生,,,4010,54230,ＪＲ函館本線,野田生,北海道,北海道
1,51,140,函館本線,函館線,山越,山越,,,4010,54235,ＪＲ函館本線,山越,北海道,北海道
1,51,145,函館本線,函館線,八雲,八雲,,,4010,54240,ＪＲ函館本線,八雲,北海道,北海道
1,51,155,函館本線,函館線,山崎,山崎,,,4010,54250,ＪＲ函館本線,山崎,北海道,北海道
1,51,160,函館本線,函館線,黒岩,黒岩,,,4010,54255,ＪＲ函館本線,黒岩,北海道,北海道
1,51,170,函館本線,函館線,国縫,国縫,,,4010,54265,ＪＲ函館本線,国縫,北海道,北海道
1,51,175,函館本線,函館線,中ノ沢,中ノ沢,,,4010,54270,ＪＲ函館本線,中ノ沢,北海道,北海道
1,51,180,函館本線,函館線,長万部,長万部,1,4,4010,54910,ＪＲ函館本線,長万部,北海道,北海道
1,51,185,函館本線,函館線,二股,二股,,,4010,54275,ＪＲ函館本線,二股,北海道,北海道
1,51,195,函館本線,函館線,黒松内,黒松内,,,4010,54285,ＪＲ函館本線,黒松内,北海道,北海道
1,51,200,函館本線,函館線,熱郛,熱郛,,,4010,54290,ＪＲ函館本線,熱郛,北海道,北海道
