Region code（地方コード）,Railway code（沿線コード）,Station code（駅コード）,沿線,新沿線,駅名,新駅名,Temp,Temp2,都道府県名,Region name 地方名,
1,11,210,北海道新幹線,北海新幹線,新青森,新青森,2,499,青森県,東北,,
1,11,260,北海道新幹線,北海新幹線,奥津軽今別,奥津軽今別,,,青森県,東北,,
1,11,310,北海道新幹線,北海新幹線,木古内,木古内,1,16,北海道,北海道,,
1,11,360,北海道新幹線,北海新幹線,新函館北斗,新函館北斗,1,49,北海道,北海道,,
1,51,5,函館本線,函館線,函館,函館,1,1,北海道,北海道,,
1,51,10,函館本線,函館線,五稜郭,五稜郭,1,2,北海道,北海道,,
1,51,15,函館本線,函館線,桔梗,桔梗,,,北海道,北海道,,
1,51,20,函館本線,函館線,大中山,大中山,,,北海道,北海道,,
1,51,25,函館本線,函館線,七飯,七飯,,,北海道,北海道,,
1,51,30,函館本線,函館線,新函館北斗,新函館北斗,1,49,北海道,北海道,,
1,51,35,函館本線,函館線,仁山,仁山,,,北海道,北海道,,
1,51,40,函館本線,函館線,大沼,大沼,,,北海道,北海道,,
1,51,45,函館本線,函館線,大沼公園,大沼公園,,,北海道,北海道,,
1,51,50,函館本線,函館線,赤井川,赤井川,,,北海道,北海道,,
1,51,55,函館本線,函館線,駒ヶ岳,駒ヶ岳,,,北海道,北海道,,
1,51,65,函館本線,函館線,池田園,池田園,,,北海道,北海道,,
1,51,67,函館本線,函館線,流山温泉,流山温泉,,,北海道,北海道,,
1,51,70,函館本線,函館線,銚子口,銚子口,,,北海道,北海道,,
1,51,75,函館本線,函館線,鹿部,鹿部,,,北海道,北海道,,
1,51,80,函館本線,函館線,渡島沼尻,渡島沼尻,,,北海道,北海道,,
1,51,85,函館本線,函館線,渡島砂原,渡島砂原,,,北海道,北海道,,
1,51,90,函館本線,函館線,掛澗,掛澗,,,北海道,北海道,,
1,51,95,函館本線,函館線,尾白内,尾白内,,,北海道,北海道,,
1,51,100,函館本線,函館線,東森,東森,,,北海道,北海道,,
1,51,105,函館本線,函館線,森,森,,,北海道,北海道,,
1,51,115,函館本線,函館線,石谷,石谷,,,北海道,北海道,,
1,51,120,函館本線,函館線,本石倉,本石倉,,,北海道,北海道,,
1,51,125,函館本線,函館線,石倉,石倉,,,北海道,北海道,,
1,51,130,函館本線,函館線,落部,落部,,,北海道,北海道,,
1,51,135,函館本線,函館線,野田生,野田生,,,北海道,北海道,,
1,51,140,函館本線,函館線,山越,山越,,,北海道,北海道,,
1,51,145,函館本線,函館線,八雲,八雲,,,北海道,北海道,,
1,51,155,函館本線,函館線,山崎,山崎,,,北海道,北海道,,
1,51,160,函館本線,函館線,黒岩,黒岩,,,北海道,北海道,,
1,51,170,函館本線,函館線,国縫,国縫,,,北海道,北海道,,
1,51,175,函館本線,函館線,中ノ沢,中ノ沢,,,北海道,北海道,,
1,51,180,函館本線,函館線,長万部,長万部,1,4,北海道,北海道,,
1,51,185,函館本線,函館線,二股,二股,,,北海道,北海道,,
1,51,195,函館本線,函館線,黒松内,黒松内,,,北海道,北海道,,
1,51,200,函館本線,函館線,熱郛,熱郛,,,北海道,北海道,,
1,51,205,函館本線,函館線,目名,目名,,,北海道,北海道,,
1,51,210,函館本線,函館線,蘭越,蘭越,,,北海道,北海道,,
1,51,215,函館本線,函館線,昆布,昆布,,,北海道,北海道,,
1,51,220,函館本線,函館線,ニセコ,ニセコ,,,北海道,北海道,,
1,51,225,函館本線,函館線,比羅夫,比羅夫,,,北海道,北海道,,
1,51,230,函館本線,函館線,倶知安,倶知安,,,北海道,北海道,,
1,51,235,函館本線,函館線,小沢,小沢,,,北海道,北海道,,
1,51,240,函館本線,函館線,銀山,銀山,,,北海道,北海道,,
1,51,245,函館本線,函館線,然別,然別,,,北海道,北海道,,
1,51,250,函館本線,函館線,仁木,仁木,,,北海道,北海道,,
1,51,255,函館本線,函館線,余市,余市,,,北海道,北海道,,
1,51,260,函館本線,函館線,蘭島,蘭島,,,北海道,北海道,,
1,51,265,函館本線,函館線,塩谷,塩谷,,,北海道,北海道,,
1,51,270,函館本線,函館線,小樽,小樽,,,北海道,北海道,,
1,51,275,函館本線,函館線,南小樽,南小樽,,,北海道,北海道,,
1,51,280,函館本線,函館線,小樽築港,小樽築港,,,北海道,北海道,,
1,51,285,函館本線,函館線,朝里,朝里,,,北海道,北海道,,
1,51,295,函館本線,函館線,銭函,銭函,,,北海道,北海道,,
1,51,298,函館本線,函館線,ほしみ,ほしみ,,,北海道,北海道,,
1,51,300,函館本線,函館線,星置,星置,,,北海道,北海道,,
1,51,302,函館本線,函館線,稲穂,稲穂,,,北海道,北海道,,
1,51,305,函館本線,函館線,手稲,手稲,,,北海道,北海道,,
1,51,306,函館本線,函館線,稲積公園,稲積公園,,,北海道,北海道,,
1,51,308,函館本線,函館線,発寒,発寒,,,北海道,北海道,,
1,51,309,函館本線,函館線,発寒中央,発寒中央,,,北海道,北海道,,
1,51,310,函館本線,函館線,琴似,琴似,1,6,北海道,北海道,,
1,51,315,函館本線,函館線,桑園,桑園,1,7,北海道,北海道,,
1,51,320,函館本線,函館線,札幌,札幌,1,8,北海道,北海道,,
1,51,325,函館本線,函館線,苗穂,苗穂,1,9,北海道,北海道,,
1,51,330,函館本線,函館線,白石,白石,1,10,北海道,北海道,,
1,51,335,函館本線,函館線,厚別,厚別,,,北海道,北海道,,
1,51,340,函館本線,函館線,森林公園,森林公園,,,北海道,北海道,,
1,51,345,函館本線,函館線,大麻,大麻,,,北海道,北海道,,
1,51,350,函館本線,函館線,野幌,野幌,,,北海道,北海道,,
1,51,352,函館本線,函館線,高砂,高砂,,,北海道,北海道,,
1,51,355,函館本線,函館線,江別,江別,,,北海道,北海道,,
1,51,360,函館本線,函館線,豊幌,豊幌,,,北海道,北海道,,
1,51,365,函館本線,函館線,幌向,幌向,,,北海道,北海道,,
1,51,370,函館本線,函館線,上幌向,上幌向,,,北海道,北海道,,
1,51,375,函館本線,函館線,岩見沢,岩見沢,1,11,北海道,北海道,,
1,51,380,函館本線,函館線,峰延,峰延,,,北海道,北海道,,
1,51,385,函館本線,函館線,光珠内,光珠内,,,北海道,北海道,,
1,51,390,函館本線,函館線,美唄,美唄,,,北海道,北海道,,
1,51,395,函館本線,函館線,茶志内,茶志内,,,北海道,北海道,,
1,51,400,函館本線,函館線,奈井江,奈井江,,,北海道,北海道,,
1,51,405,函館本線,函館線,豊沼,豊沼,,,北海道,北海道,,
1,51,430,函館本線,函館線,砂川,砂川,,,北海道,北海道,,
1,51,435,函館本線,函館線,滝川,滝川,1,13,北海道,北海道,,
1,51,440,函館本線,函館線,江部乙,江部乙,,,北海道,北海道,,
1,51,445,函館本線,函館線,妹背牛,妹背牛,,,北海道,北海道,,
1,51,450,函館本線,函館線,深川,深川,1,14,北海道,北海道,,
1,51,455,函館本線,函館線,納内,納内,,,北海道,北海道,,
1,51,465,函館本線,函館線,近文,近文,,,北海道,北海道,,
1,51,470,函館本線,函館線,旭川,旭川,1,15,北海道,北海道,,
1,55,5,札沼線,札沼線,札幌,札幌,1,8,北海道,北海道,,
1,55,10,札沼線,札沼線,桑園,桑園,1,7,北海道,北海道,,
1,55,13,札沼線,札沼線,八軒,八軒,,,北海道,北海道,,
1,55,15,札沼線,札沼線,新川,新川,,,北海道,北海道,,
1,55,20,札沼線,札沼線,新琴似,新琴似,,,北海道,北海道,,
1,55,23,札沼線,札沼線,太平,太平,,,北海道,北海道,,
1,55,26,札沼線,札沼線,百合が原,百合が原,,,北海道,北海道,,
1,55,30,札沼線,札沼線,篠路,篠路,,,北海道,北海道,,
1,55,40,札沼線,札沼線,拓北,拓北,,,北海道,北海道,,
1,55,45,札沼線,札沼線,あいの里教育大,あいの里教,,,北海道,北海道,,
1,55,50,札沼線,札沼線,あいの里公園,あいの里公,,,北海道,北海道,,
1,55,60,札沼線,札沼線,石狩太美,石狩太美,,,北海道,北海道,,
1,55,70,札沼線,札沼線,石狩当別,石狩当別,,,北海道,北海道,,
1,55,80,札沼線,札沼線,北海道医療大学,北海道医療,,,北海道,北海道,,
1,56,10,千歳線,千歳線,札幌,札幌,1,8,北海道,北海道,,
1,56,20,千歳線,千歳線,苗穂,苗穂,1,9,北海道,北海道,,
1,56,30,千歳線,千歳線,白石,白石,1,10,北海道,北海道,,
1,56,35,千歳線,千歳線,平和,平和,,,北海道,北海道,,
1,56,40,千歳線,千歳線,新札幌,新札幌,1,17,北海道,北海道,,
1,56,50,千歳線,千歳線,上野幌,上野幌,,,北海道,北海道,,
1,56,60,千歳線,千歳線,北広島,北広島,,,北海道,北海道,,
